Eclairage,Plusieurs lampes allumées en continu,Pont ou tunnel,6,5,140,Eclairage , Tronçon,allumée en continu,1006,2012,3125
Eclairage,Dégât au luminaire,Pont ou tunnel,6,5,141,Eclairage , Lampe,dégats,1006,2010,3126
Eclairage,Lampe allumée en continu,Pont ou tunnel,6,5,113,Eclairage , Lampe,allumée en continu,1006,2010,3044
Eclairage,Lampe éteinte,Pont ou tunnel,6,5,112,Eclairage , Lampe,éteinte,1006,2010,3043
Eclairage,Dégât au poteau,Pont ou tunnel,6,5,111,Eclairage , Poteau,dégats,1006,2011,3042
Eclairage,Plusieurs lampes éteintes,Trottoir,6,1,118,Eclairage , Tronçon,éteinte,1006,2012,3123
Eclairage,Lampe clignote,Trottoir,6,1,119,Eclairage , Lampe,clignote,1006,2010,3124
Eclairage,Plusieurs lampes allumées en continu,Trottoir,6,1,120,Eclairage , Tronçon,allumée en continu,1006,2012,3125
Eclairage,Dégât au luminaire,Trottoir,6,1,121,Eclairage , Lampe,dégats,1006,2010,3126
Eclairage,Lampe allumée en continu,Trottoir,6,1,19,Eclairage , Lampe,allumée en continu,1006,2010,3044
Eclairage,Lampe éteinte,Trottoir,6,1,18,Eclairage , Lampe,éteinte,1006,2010,3043
Eclairage,Dégât au poteau,Trottoir,6,1,17,Eclairage , Poteau,dégats,1006,2011,3042
Eclairage,Problème éclairage public - autre,Trottoir,6,1,122,Eclairage ,poteau,autres,1006,2011,3127
Fontaines,Débordement,Chaussée,8,2,49,Fontaine, Déborde, Déborde,1008,2020,3049
Fontaines,Fuite,Chaussée,8,2,50,Fontaine, Déborde, Déborde,1008,2020,3049
Fontaines,Hors Service,Chaussée,8,2,48,Fontaine, Hors Service, Hors Service,1008,2021,3048
Fontaines,Hors Service,Espace vert,8,4,95,Fontaine, Hors Service, Hors Service,1008,2021,3048
Fontaines,Débordement,Espace vert,8,4,96,Fontaine, Déborde, Déborde,1008,2020,3096
Fontaines,Fuite,Espace vert,8,4,97,Fontaine, Déborde, Déborde,1008,2020,3096
Fontaines,Fuite,Trottoir,8,1,25,Fontaine, Déborde, Déborde,1008,2020,3096
Fontaines,Hors Service,Trottoir,8,1,23,Fontaine, Hors Service, Hors Service,1008,2021,3048
Fontaines,Débordement,Trottoir,8,1,24,Fontaine, Déborde, Déborde,1008,2020,3049
Mobilier urbain/potelet,Cassé,Chaussée,7,2,45,Mobilier urbain,Potelet,Accidenté,1007,2030,3045
Mobilier urbain/potelet,Arraché,Chaussée,7,2,46,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Disparu,Chaussée,7,2,47,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Cassé,Espace vert,7,4,92,Mobilier urbain,Potelet,Accidenté,1007,2030,3045
Mobilier urbain/potelet,Arraché,Espace vert,7,4,93,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Disparu,Espace vert,7,4,94,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Cassé,Piste cyclable,7,3,70,Mobilier urbain,Potelet,Accidenté,1007,2030,3045
Mobilier urbain/potelet,Arraché,Piste cyclable,7,3,71,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Disparu,Piste cyclable,7,3,72,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Cassé,Pont ou tunnel,7,5,114,Mobilier urbain,Potelet,Accidenté,1007,2030,3045
Mobilier urbain/potelet,Arraché,Pont ou tunnel,7,5,115,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Disparu,Pont ou tunnel,7,5,116,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Disparu,Trottoir,7,1,22,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Mobilier urbain/potelet,Cassé,Trottoir,7,1,20,Mobilier urbain,Potelet,Accidenté,1007,2030,3045
Mobilier urbain/potelet,Arraché,Trottoir,7,1,21,Mobilier urbain,Potelet,Manquant,1007,2030,3046
Plantations,Branche cassée,Chaussée,4,2,35,Plantation,Branche,Branche,1004,2040,3035
Plantations,Arbre dangereux,Chaussée,4,2,36,Plantation, Élagage, Élagage,1004,2041,3036
Plantations,Végétation gênante,Chaussée,4,2,37,Plantation, Végétation gênante, Végétation gênante,1004,2042,3037
Plantations,Branche cassée,Espace vert,4,4,82,Plantation, Branche, Branche,1004,2040,3035
Plantations,Arbre dangereux,Espace vert,4,4,83,Plantation, Élagage, Élagage,1004,2041,3036
Plantations,Végétation gênante,Espace vert,4,4,84,Plantation, Végétation gênante, Végétation gênante,1004,2042,3037
Plantations,Arbre dangereux,Piste cyclable,4,3,61,Plantation, Élagage, Élagage,1004,2041,3036
Plantations,Végétation gênante,Piste cyclable,4,3,62,Plantation, Végétation gênante, Végétation gênante,1004,2042,3037
Plantations,Branche cassée,Piste cyclable,4,3,60,Plantation, Branche, Branche,1004,2040,3035
Plantations,Végétation gênante,Trottoir,4,1,12,Plantation, Végétation gênante, Végétation gênante,1004,2042,3037
Plantations,Branche cassée,Trottoir,4,1,10,Plantation, Branche, Branche,1004,2040,3035
Plantations,Arbre dangereux,Trottoir,4,1,11,Plantation, Élagage, Élagage,1004,2041,3036
Récolte des eaux,Bouché,Chaussée,3,2,33,Avaloir ,bouché,bouché,1003,2050,3033
Récolte des eaux,Cassé,Chaussée,3,2,34,Avaloir ,Grille manquante,Grille manquante,1003,2051,3034
Récolte des eaux,Bruyante,Chaussée,3,2,117,Taque,bruyante,bruyante,1010,2052,3117
Récolte des eaux,Bouché,Espace vert,3,4,80,Avaloir ,Bouché,Bouché,1003,2050,3033
Récolte des eaux,Cassé,Espace vert,3,4,81,Avaloir ,Grille manquante,Grille manquante,1003,2051,3034
Récolte des eaux,Bouché,Piste cyclable,3,3,58,Avaloir ,Bouché,Bouché,1003,2050,3033
